,latitude,longitude,price,_Entire home/apt,_Hotel room,_Private room,_Shared room,rating
61,47.37505,8.54372,574.0,1,0,0,0,1.0
62,47.37505,8.54372,575.0,1,0,0,0,1.0
63,47.36243,8.54878,574.0,1,0,0,0,1.0
64,47.37468,8.54342,575.0,1,0,0,0,1.0
65,47.37468,8.54342,575.0,1,0,0,0,1.0
66,47.37468,8.54342,575.0,1,0,0,0,1.0
67,47.37468,8.54342,575.0,1,0,0,0,1.0
68,47.37641,8.51478,100.0,1,0,0,0,3.0
69,47.37468,8.54342,575.0,1,0,0,0,1.0
70,47.35072,8.56191,95.0,1,0,0,0,4.0
71,47.40503,8.551,65.0,0,0,1,0,4.0
72,47.37958,8.4825,45.0,0,0,1,0,5.0
73,47.36102,8.55145,100.0,1,0,0,0,4.0
74,47.37685,8.54549,90.0,1,0,0,0,3.0
75,47.35697,8.55664,242.0,1,0,0,0,3.0
76,47.35703,8.5567,275.0,1,0,0,0,3.0
77,47.35578,8.5566,415.0,1,0,0,0,2.0
78,47.35578,8.55666,255.0,1,0,0,0,3.0
79,47.37385,8.52988,150.0,0,0,1,0,4.0
80,47.3574,8.55247,400.0,1,0,0,0,2.0
81,47.36946,8.55693,170.0,1,0,0,0,3.0
82,47.36298,8.55946,108.0,1,0,0,0,4.0
83,47.36231,8.55827,309.0,1,0,0,0,3.0
84,47.39342,8.52349,80.0,1,0,0,0,3.0
85,47.38729,8.52267,125.0,1,0,0,0,3.0
86,47.38157,8.48096,56.0,1,0,0,0,3.0
87,47.36342,8.55865,101.0,1,0,0,0,4.0
88,47.36231,8.55827,198.0,1,0,0,0,3.0
89,47.36607,8.5192,110.0,1,0,0,0,4.0
90,47.36546,8.50422,104.0,1,0,0,0,4.0
91,47.38863,8.49107,96.0,1,0,0,0,3.0
92,47.37997,8.50702,85.0,1,0,0,0,3.0
93,47.37039,8.52415,90.0,0,0,1,0,5.0
94,47.364,8.54975,110.0,1,0,0,0,4.0
95,47.38287,8.50033,92.0,1,0,0,0,3.0
96,47.36051,8.5649,155.0,1,0,0,0,4.0
97,47.36051,8.5649,177.0,1,0,0,0,4.0
98,47.36051,8.5649,330.0,1,0,0,0,3.0
99,47.35784,8.553,220.0,1,0,0,0,3.0
100,47.3622,8.56618,80.0,1,0,0,0,4.0
101,47.35784,8.553,285.0,1,0,0,0,3.0
102,47.35784,8.553,440.0,1,0,0,0,2.0
103,47.38368,8.53995,220.0,1,0,0,0,2.0
104,47.4069,8.54821,110.0,1,0,0,0,2.0
105,47.37136,8.54351,59.0,0,0,1,0,5.0
106,47.35784,8.553,285.0,1,0,0,0,3.0
107,47.38368,8.53995,220.0,1,0,0,0,2.0
108,47.35811,8.59906,89.0,0,0,1,0,5.0
109,47.38018,8.50485,115.0,1,0,0,0,3.0
110,47.37833,8.5263,365.0,1,0,0,0,2.0
111,47.39258,8.4786,58.0,1,0,0,0,3.0
112,47.38873,8.53798,120.0,1,0,0,0,3.0
113,47.38917,8.48504,60.0,0,0,1,0,4.0
114,47.39218,8.52935,75.0,1,0,0,0,3.0
115,47.3836,8.52844,190.0,0,0,1,0,4.0
116,47.35924,8.52103,200.0,1,0,0,0,3.0
117,47.37298,8.48284,163.0,1,0,0,0,3.0
118,47.38417,8.54212,283.0,1,0,0,0,2.0
119,47.3714,8.54349,65.0,0,0,1,0,5.0
120,47.3714,8.54349,224.0,1,0,0,0,3.0
121,47.37797,8.51969,95.0,1,0,0,0,3.0
122,47.38651,8.54511,195.0,1,0,0,0,3.0
123,47.39109,8.53796,330.0,1,0,0,0,2.0
124,47.37256,8.54436,95.0,1,0,0,0,4.0
125,47.38068,8.53699,149.0,1,0,0,0,3.0
126,47.35793,8.59777,89.0,0,0,1,0,5.0
127,47.38368,8.53995,220.0,1,0,0,0,2.0
128,47.35784,8.553,285.0,1,0,0,0,3.0
129,47.36232,8.52775,250.0,1,0,0,0,3.0
130,47.35578,8.55666,281.0,1,0,0,0,3.0
131,47.35578,8.55666,255.0,1,0,0,0,3.0
132,47.3605,8.56529,155.0,1,0,0,0,4.0
133,47.3605,8.56529,155.0,1,0,0,0,4.0
134,47.41103,8.54619,60.0,0,0,1,0,4.0
135,47.3801,8.52415,150.0,1,0,0,0,3.0
136,47.37205,8.5427,113.0,1,0,0,0,4.0
137,47.41881,8.55751,125.0,1,0,0,0,2.0
138,47.35965,8.52389,291.0,1,0,0,0,3.0
139,47.36134,8.56629,71.0,0,0,1,0,5.0
140,47.35448,8.56304,150.0,1,0,0,0,4.0
141,47.40424,8.55429,47.0,0,0,1,0,4.0
142,47.37377,8.53849,85.0,1,0,0,0,4.0
143,47.36817,8.48914,60.0,0,0,1,0,5.0
144,47.39705,8.58657,93.0,1,0,0,0,3.0
145,47.36544,8.52028,124.0,1,0,0,0,4.0
146,47.41831,8.55781,68.0,1,0,0,0,2.0
147,47.36231,8.55827,210.0,1,0,0,0,3.0
148,47.413,8.52719,89.0,1,0,0,0,2.0
149,47.36966,8.55303,150.0,1,0,0,0,3.0
150,47.37332,8.51905,116.0,1,0,0,0,3.0
151,47.3652,8.54825,190.0,1,0,0,0,3.0
152,47.37563,8.53061,115.0,1,0,0,0,3.0
153,47.3922,8.55069,600.0,0,0,1,0,1.0
154,47.38052,8.52422,136.0,1,0,0,0,3.0
155,47.36536,8.55408,180.0,1,0,0,0,3.0
156,47.37889,8.52592,78.0,0,0,1,0,5.0
157,47.41105,8.48109,75.0,0,0,1,0,4.0
158,47.40596,8.56325,57.0,0,0,1,0,4.0
159,47.36773,8.55611,89.0,0,0,1,0,5.0
160,47.35286,8.55978,82.0,1,0,0,0,4.0
161,47.41035,8.54643,61.0,0,0,1,0,4.0
162,47.37585,8.51511,154.0,1,0,0,0,3.0
163,47.40918,8.54569,61.0,0,0,1,0,4.0
164,47.38488,8.49463,120.0,1,0,0,0,3.0
165,47.38031,8.48205,45.0,0,0,1,0,5.0
166,47.3815,8.48216,42.0,0,0,1,0,5.0
167,47.37625,8.52621,93.0,0,0,1,0,5.0
168,47.3867,8.51521,99.0,1,0,0,0,3.0
169,47.37825,8.56035,180.0,1,0,0,0,3.0
170,47.36268,8.56684,50.0,0,0,1,0,5.0
171,47.37881,8.55894,180.0,1,0,0,0,3.0
172,47.37704,8.50973,175.0,1,0,0,0,3.0
173,47.37374,8.51556,95.0,0,0,1,0,5.0
174,47.37771,8.56013,150.0,0,0,1,0,4.0
175,47.37137,8.54428,340.0,1,0,0,0,2.0
176,47.36309,8.56658,86.0,1,0,0,0,4.0
177,47.39822,8.55302,95.0,0,0,1,0,4.0
178,47.37753,8.55925,136.0,0,0,1,0,4.0
179,47.37941,8.56013,130.0,0,0,1,0,4.0
180,47.357601,8.59931,33.0,0,0,1,0,5.0
181,47.41159,8.48127,80.0,0,0,1,0,4.0
182,47.357601,8.59931,45.0,0,0,1,0,5.0
183,47.40391,8.55308,42.0,0,0,1,0,4.0
184,47.38887,8.52986,70.0,0,0,1,0,4.0
185,47.38645,8.50316,575.0,1,0,0,0,1.0
186,47.38645,8.50316,575.0,1,0,0,0,1.0
187,47.38817,8.49861,150.0,1,0,0,0,3.0
188,47.374268,8.521883,470.0,1,0,0,0,1.0
189,47.37259,8.54535,173.0,1,0,0,0,3.0
190,47.39057,8.52279,100.0,0,0,1,0,4.0
191,47.35578,8.55666,415.0,1,0,0,0,2.0
192,47.42689,8.55265,150.0,1,0,0,0,1.0
193,47.3783,8.55881,100.0,0,0,1,0,5.0
194,47.3771,8.51509,1065.0,1,0,0,0,1.0
195,47.36114,8.5518,199.0,1,0,0,0,3.0
196,47.37708,8.52348,575.0,1,0,0,0,1.0
197,47.37708,8.52348,575.0,1,0,0,0,1.0
198,47.37708,8.52348,575.0,1,0,0,0,1.0
199,47.37708,8.52348,575.0,1,0,0,0,1.0
200,47.37708,8.52348,575.0,1,0,0,0,1.0
201,47.38309,8.54791,98.0,0,0,1,0,4.0
202,47.40036,8.57644,199.0,1,0,0,0,2.0
203,47.40136,8.57614,199.0,1,0,0,0,2.0
204,47.3827,8.55204,120.0,0,0,1,0,4.0
205,47.37824,8.55907,229.0,0,0,1,0,4.0
206,47.40955,8.4871,57.0,1,0,0,0,3.0
207,47.3706,8.53353,120.0,1,0,0,0,4.0
208,47.37358,8.544,118.0,0,1,0,0,4.0
209,47.36118,8.51965,125.0,1,0,0,0,4.0
210,47.40805,8.5476,575.0,1,0,0,0,1.0
211,47.40806,8.54758,575.0,1,0,0,0,1.0
212,47.38485,8.52455,70.0,0,0,1,0,4.0
213,47.39402,8.53246,66.0,1,0,0,0,3.0
214,47.36902,8.54354,599.0,1,0,0,0,1.0
215,47.38989,8.49498,80.0,0,0,1,0,4.0
216,47.36098,8.54948,390.0,1,0,0,0,2.0
217,47.34323,8.52305,69.0,0,0,1,0,5.0
218,47.37765,8.55885,100.0,0,0,1,0,5.0
219,47.37485,8.5441,575.0,1,0,0,0,1.0
