id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,_Entire home/apt,_Hotel room,_Private room,_Shared room
6.81575E+17,Nice apartment with Projector&Aircon close to lake,4462872,Eder,Kreis 2,Wollishofen,47.34404,8.52924,159,2,0,,,2,58,0,1,0,0,0
6.8167E+17,Easy Studio Apartment,58818657,Book A Home AG,Kreis 11,Affoltern,47.4188639,8.5080646,90,7,0,,,37,266,0,1,0,0,0
6.81673E+17,Precious apartment by the lake in central Zurich,22889966,Julia,Kreis 8,Seefeld,47.35419,8.55603,105,21,0,,,1,285,0,1,0,0,0
6.81675E+17,Easy Junior One Bedroom Apartment,58818657,Book A Home AG,Kreis 11,Affoltern,47.4188639,8.5080646,99,7,0,,,37,266,0,1,0,0,0
6.82347E+17,Charming & Cozy Studio-Balcony-Lake-Wifi-Netflix,178946870,Janine,Kreis 2,Wollishofen,47.33411,8.53336,115,3,4,15/09/2022,2.79,1,73,4,1,0,0,0
6.83272E+17,Design Loft Zurich,461040413,Dominik,Kreis 8,MÃ¼hlebach,47.35972,8.5558,232,2,2,03/09/2022,1.62,1,88,2,1,0,0,0
6.83888E+17,Exclusive spacious Apt. with garden in Zurich,40456896,Michael Werner,Kreis 7,Witikon,47.3544,8.58225,390,5,0,,,1,347,0,1,0,0,0
6.84009E+17,Studio with Lake/Mountain View and Garden Access,472745110,Elmar And Rita,Kreis 2,Enge,47.35377,8.52885,200,1,13,15/09/2022,10.26,1,186,13,1,0,0,0
6.84478E+17,Zentrale Wohnung mit Balkon und Blick in den Park,40562977,Fanny,Kreis 7,Hottingen,47.36602,8.55368,175,80,0,,,1,334,0,1,0,0,0
6.84529E+17,Wohnung im Zentrum  mit Terrasse direkt am Fluss,28241669,Roxy,Kreis 10,Wipkingen,47.39219,8.52607,214,2,1,14/08/2022,0.73,1,11,1,1,0,0,0
6.85176E+17,"Wiedikon 2.5 Room w/ Storage & W/D, near Market",434204093,Blueground,Kreis 3,Alt-Wiedikon,47.3694273,8.516073,159,30,0,,,40,318,0,1,0,0,0
6.8518E+17,"Wiedikon 2.5 Room w/ Storage, 1 min to Market",434204093,Blueground,Kreis 4,Werd,47.3698089,8.5261586,192,30,0,,,40,205,0,1,0,0,0
6.85237E+17,Charming Studio in Zurich,353588946,Chayan,Kreis 9,Altstetten,47.38603,8.48886,99,2,2,21/08/2022,1.58,1,332,2,1,0,0,0
6.85308E+17,"SchÃ¶nes, modernes Zimmer im Loftstil",83680400,Olivia,Kreis 9,Altstetten,47.38829,8.49558,150,1,1,16/09/2022,1,2,64,1,0,0,1,0
6.85575E+17,Beautiful Yellow Apartment,25396172,CÃ©leste,Kreis 6,Oberstrass,47.39311,8.54676,170,2,12,17/09/2022,7.66,2,225,12,1,0,0,0
6.85963E+17,Sehr schÃ¶ne und ruhige 2-Zimmer Wohnung im Seefeld,4175228,Belma,Kreis 8,MÃ¼hlebach,47.36013,8.5533,160,3,2,23/08/2022,1.71,3,344,2,1,0,0,0
6.86712E+17,"GemÃ¼tliche, zentrale Wohnung mit zwei Balkonen",473431644,Sandy,Kreis 3,Alt-Wiedikon,47.36686,8.51956,119,2,0,,,1,44,0,1,0,0,0
6.87786E+17,Lovely 1-bedroom apartment in ZÃ¼rich,32019940,Dominique,Kreis 4,Hard,47.38154,8.5082,170,5,0,,,1,38,0,1,0,0,0
6.88003E+17,Spacious apartment in the centre of ZÃ¼rich,238741552,Mila,Kreis 4,Werd,47.37333,8.53023,170,2,0,,,1,13,0,1,0,0,0
6.88056E+17,Wohnen an der Schmiede Wiedikon ADONIS,336827675,Tiziana,Kreis 3,Alt-Wiedikon,47.36985,8.51797,175,3,0,,,15,347,0,1,0,0,0
6.88181E+17,Bedroom in shared apartment central Zurich,467375880,Lisa And Carl,Kreis 4,Langstrasse,47.37718,8.52165,72,15,0,,,2,353,0,0,0,1,0
6.88391E+17,Lovely apartment right next to the lake,105915105,Melissa,Kreis 8,Seefeld,47.3537326,8.5547124,969,1,0,,,1,365,0,1,0,0,0
6.88398E+17,"1-bedroom unit with charming balcony, near centre",412858523,Alexander,Kreis 9,Altstetten,47.38794,8.4886,70,1,7,19/09/2022,7,1,332,7,0,0,1,0
6.88758E+17,The Kitty-partment: whole apartment in quiet area,473904487,Katherina,Kreis 6,Unterstrass,47.39191,8.54416,164,1,7,18/09/2022,5.12,1,364,7,1,0,0,0
6.88817E+17,Extraordinary Sleep-Accommodation with 18 Beds,223530619,Stefan,Kreis 2,Wollishofen,47.33559,8.54257,799,1,0,,,1,362,0,1,0,0,0
6.89427E+17,SchÃ¶nes Zimmer mitten im Kreis 5 in ZÃ¼rich,28006612,Lara,Kreis 5,Gewerbeschule,47.38682,8.52411,105,2,2,16/09/2022,1.46,1,346,2,0,0,1,0
6.89479E+17,HSH - Splendid 3 Bedroom Attique with Balcony,343510747,Hsh,Kreis 11,Seebach,47.41731,8.54351,307,3,0,,,1,355,0,1,0,0,0
6.89668E+17,Ruhige & gemÃ¼tliche Dachwohnung im Kreis 4,34250690,Christina,Kreis 4,Langstrasse,47.37744,8.52024,150,4,0,,,1,51,0,1,0,0,0
6.89668E+17,Wohnen am RÃ¶merhof EOLO,336827675,Tiziana,Kreis 7,Hottingen,47.36839,8.56248,190,3,0,,,15,354,0,1,0,0,0
6.90255E+17,lovely 2 room apartment in the heart of zurich,1185907,Elias,Kreis 5,Gewerbeschule,47.38506,8.53322,150,1,0,,,1,364,0,1,0,0,0
6.90957E+17,"Nice room, 5 min to the lake",474444378,Benjamin,Kreis 2,Wollishofen,47.34565,8.53059,129,1,1,14/08/2022,0.73,2,327,1,0,0,1,0
6.90986E+17,"Stadtnahe, moderne Wohnung",413065566,Liri,Kreis 2,Wollishofen,47.34013,8.5186,130,2,2,16/08/2022,1.43,1,111,2,1,0,0,0
6.91171E+17,Chalet Style 2-Bedroom Flat,41995918,Dominik,Kreis 8,Weinegg,47.35286,8.58186,200,3,2,06/09/2022,1.87,1,3,2,1,0,0,0
6.93981E+17,Cozy studio centrally located,100757304,Simone,Kreis 2,Wollishofen,47.34459,8.53255,129,1,2,06/09/2022,2,6,299,2,1,0,0,0
6.94051E+17,Simple 1-bed room in Zurich city Center,9637493,Eddie,Kreis 7,Hottingen,47.36516,8.55375,60,1,10,20/09/2022,9.37,1,20,10,0,0,1,0
6.94055E+17,"WunderschÃ¶ne Wohnung, 5 min zum See",474444378,Benjamin,Kreis 2,Wollishofen,47.34918,8.52843,152,1,0,,,2,365,0,0,0,1,0
6.94705E+17,Room in shared flat with Mike,3154042,Mike,Kreis 7,Hottingen,47.3665,8.56476,120,5,1,26/08/2022,1,1,147,1,0,0,1,0
6.94917E+17,Kleines Bijoux in ZÃ¼rich,41075499,Celina,Kreis 8,Weinegg,47.35981,8.56175,160,4,0,,,1,234,0,1,0,0,0
6.95307E+17,"Nice, cozy and bright studio apartment",100757304,Simone,Kreis 2,Wollishofen,47.3435,8.53247,146,1,1,31/08/2022,1,6,302,1,1,0,0,0
6.95437E+17,Landscape Architect's Roof Loft above ZÃ¼rich Enge,6796649,Sibylle,Kreis 2,Enge,47.36109056,8.528775415,307,2,1,18/09/2022,1,2,14,1,1,0,0,0
6.96406E+17,THE GOLDNEST. Exklusive Wohnung in ZÃ¼rich-West,475666923,Werni,Kreis 5,Escher Wyss,47.38723149,8.512948773,320,30,0,,,1,365,0,1,0,0,0
6.96791E+17,Charming apartment in Industriequartier,1840398,Lucia,Kreis 5,Gewerbeschule,47.38467369,8.529603665,135,30,0,,,1,146,0,1,0,0,0
6.97109E+17,Close to ZÃ¼richâ€™s city holiday Apartment,355006376,Ariya,Kreis 11,Oerlikon,47.40343,8.55689,210,1,0,,,2,365,0,1,0,0,0
6.97647E+17,Zimmer in Dachgeschosswohnung nahe ETH ZÃ¼rich,468683329,Christian,Kreis 11,Affoltern,47.41971,8.51407,64,14,0,,,2,327,0,0,0,1,0
6.9765E+17,"Cute 2,5 bedroom apartment in ZÃ¼rich Alstetten",11290448,Lisa,Kreis 9,Altstetten,47.38201,8.49147,85,2,0,,,1,79,0,1,0,0,0
6.9785E+17,Europaallee Central Station Vibrant 1-bedroom,36289692,Elsa,Kreis 4,Langstrasse,47.3791089,8.5322977,250,30,0,,,1,95,0,1,0,0,0
6.98136E+17,Beautiful apartment in the heart of Zurich,255809846,Katarina,Kreis 1,Lindenhof,47.37162,8.54145,226,3,1,11/09/2022,1,1,315,1,1,0,0,0
6.98306E+17,Privat Room in Shared Loft,92318829,Patrik,Kreis 4,Langstrasse,47.38044,8.5311,110,7,0,,,1,117,0,0,0,1,0
6.9848E+17,Cozy flat in ZÃ¼richs lively Â«Kreis 4Â»,20692163,Sven,Kreis 4,Hard,47.37887,8.51413,160,3,2,10/09/2022,2,1,5,2,1,0,0,0
6.98503E+17,Loft in the heart of ZÃ¼rich,7449362,Thomas,Kreis 3,Alt-Wiedikon,47.36176,8.51883,150,2,2,19/09/2022,2,1,23,2,1,0,0,0
6.98845E+17,Private Bedroom at the top location of Zurich City,192399122,Micha,Kreis 4,Langstrasse,47.37978918,8.531672854,95,10,0,,,1,77,0,0,0,1,0
6.9905E+17,Beautiful 1 room Loft in the heart of Zurich,435206544,Lls,Kreis 8,Weinegg,47.36254,8.55545,115,40,0,,,1,135,0,1,0,0,0
6.99673E+17,"Elegant, bright and central 2 bedroom apartment",67738367,Jasmine,Kreis 6,Unterstrass,47.38322,8.54314,200,1,0,,,1,354,0,1,0,0,0
6.99704E+17,SchÃ¶ner pop art Loft Wohnung im Herzen der ZÃ¼rich,41166900,Steg,Kreis 5,Escher Wyss,47.3904405,8.518288,184,5,0,,,1,327,0,1,0,0,0
7.00018E+17,Private room in central apartment with balcony,12887691,Anastasia,Kreis 4,Hard,47.37771,8.51685,85,5,0,,,1,95,0,0,0,1,0
7.00057E+17,Moderne Wohnung im Herzen von ZÃ¼rich,412183088,Daniel,Kreis 5,Gewerbeschule,47.38528,8.5324,150,2,0,,,1,310,0,0,0,1,0
7.00452E+17,Beautiful spacious room close to downtown.,313371221,Alexsandra,Kreis 11,Oerlikon,47.40236,8.55409,85,3,0,,,1,341,0,0,0,1,0
7.00517E+17,City Loft mit Balkon und kostenlosem Parkplatz,76550057,Prisca,Kreis 2,Enge,47.35966,8.52362,170,2,0,,,1,346,0,1,0,0,0
7.00573E+17,"Charming apartment with balcony, great location",39347887,David,Kreis 6,Oberstrass,47.38772,8.54775,90,21,0,,,1,278,0,1,0,0,0
7.01608E+17,15 min. to city center! Big room in shared flat!,408027435,Erwin,Kreis 11,Seebach,47.41427334,8.557140089,75,3,0,,,1,5,0,0,0,1,0
7.02227E+17,"SchÃ¶ne Business Apartments (1,5 Zi. WG) Privaten P",459319392,Apartments,Kreis 11,Affoltern,47.420008,8.5044454,68,3,0,,,1,337,0,1,0,0,0
7.03979E+17,Roof top apartment with 2 balconies in Wiedikon!,34571377,Danuta,Kreis 3,Sihlfeld,47.36979,8.52462,171,5,0,,,1,33,0,1,0,0,0
7.04034E+17,LuxuriÃ¶ses Townhaus mit privatem Gym und Sauna,477190873,Leyla,Kreis 9,Altstetten,47.3821467,8.47921,800,5,0,,,1,15,0,1,0,0,0
7.04143E+17,Lovely 2-bedroom apt with great lake & city view,4168095,Niko,Kreis 7,Fluntern,47.37655,8.55649,200,50,0,,,1,114,0,1,0,0,0
7.04922E+17,Perfect studio for a single person or a couple,100757304,Simone,Kreis 2,Wollishofen,47.34487,8.53292,140,1,0,,,6,289,0,1,0,0,0
7.05719E+17,Room close to the Center and Lake of Zurich,231788285,Melsigen,Kreis 2,Wollishofen,47.34007,8.53181,90,5,0,,,1,146,0,0,0,1,0
7.05823E+17,Cosy apartment in Zurich with Netflix,414475400,Air,Kreis 11,Affoltern,47.42347,8.50076,129,2,1,18/09/2022,1,1,349,1,1,0,0,0
7.06232E+17,ZÃ¼rich City Apartment (Close to City),355006376,Ariya,Kreis 11,Oerlikon,47.40284,8.55595,199,1,0,,,2,363,0,1,0,0,0
7.06296E+17,Bright & Spacious 2BR - Heart of Zurich,3528377,Marc,Kreis 4,Werd,47.37384,8.52271,309,5,0,,,16,54,0,1,0,0,0
